county_name,latitude,longitude,county
UNKNOWN,57.6,21.7,12
SAAREMAA,57.9,21.7,10
SAAREMAA,58.2,21.7,10
SAAREMAA,58.4,21.7,10
UNKNOWN,58.7,21.7,12
UNKNOWN,59.0,21.7,12
UNKNOWN,59.3,21.7,12
UNKNOWN,59.6,21.7,12
UNKNOWN,57.6,22.2,12
SAAREMAA,57.9,22.2,10
SAAREMAA,58.2,22.2,10
SAAREMAA,58.4,22.2,10
UNKNOWN,58.7,22.2,12
HIIUMAA,59.0,22.2,1
UNKNOWN,59.3,22.2,12
UNKNOWN,59.6,22.2,12
UNKNOWN,57.6,22.7,12
UNKNOWN,57.9,22.7,12
SAAREMAA,58.2,22.7,10
SAAREMAA,58.4,22.7,10
HIIUMAA,58.7,22.7,1
HIIUMAA,59.0,22.7,1
UNKNOWN,59.3,22.7,12
UNKNOWN,59.6,22.7,12
SAAREMAA,57.6,23.2,10
SAAREMAA,57.9,23.2,10
SAAREMAA,58.2,23.2,10
SAAREMAA,58.4,23.2,10
SAAREMAA,58.7,23.2,10
LÄÄNEMAA,59.0,23.2,6
UNKNOWN,59.3,23.2,12
UNKNOWN,59.6,23.2,12
UNKNOWN,57.6,23.7,12
PÄRNUMAA,57.9,23.7,7
PÄRNUMAA,58.2,23.7,7
PÄRNUMAA,58.4,23.7,7
LÄÄNEMAA,58.7,23.7,6
LÄÄNEMAA,59.0,23.7,6
HARJUMAA,59.3,23.7,0
UNKNOWN,59.6,23.7,12
UNKNOWN,57.6,24.2,12
PÄRNUMAA,57.9,24.2,7
PÄRNUMAA,58.2,24.2,7
PÄRNUMAA,58.4,24.2,7
RAPLAMAA,58.7,24.2,9
HARJUMAA,59.0,24.2,0
HARJUMAA,59.3,24.2,0
UNKNOWN,59.6,24.2,12
UNKNOWN,57.6,24.7,12
UNKNOWN,57.9,24.7,12
PÄRNUMAA,58.2,24.7,7
PÄRNUMAA,58.4,24.7,7
RAPLAMAA,58.7,24.7,9
RAPLAMAA,59.0,24.7,9
HARJUMAA,59.3,24.7,0
HARJUMAA,59.6,24.7,0
UNKNOWN,57.6,25.2,12
UNKNOWN,57.9,25.2,12
PÄRNUMAA,58.2,25.2,7
VILJANDIMAA,58.4,25.2,14
JÄRVAMAA,58.7,25.2,3
HARJUMAA,59.0,25.2,0
HARJUMAA,59.3,25.2,0
HARJUMAA,59.6,25.2,0
UNKNOWN,57.6,25.7,12
UNKNOWN,57.9,25.7,12
VILJANDIMAA,58.2,25.7,14
VILJANDIMAA,58.4,25.7,14
JÄRVAMAA,58.7,25.7,3
JÄRVAMAA,59.0,25.7,3
HARJUMAA,59.3,25.7,0
HARJUMAA,59.6,25.7,0
UNKNOWN,57.6,26.2,12
VALGAMAA,57.9,26.2,13
TARTUMAA,58.2,26.2,11
JÕGEVAMAA,58.4,26.2,4
JÕGEVAMAA,58.7,26.2,4
LÄÄNE-VIRUMAA,59.0,26.2,5
LÄÄNE-VIRUMAA,59.3,26.2,5
LÄÄNE-VIRUMAA,59.6,26.2,5
VÕRUMAA,57.6,26.7,15
VÕRUMAA,57.9,26.7,15
TARTUMAA,58.2,26.7,11
TARTUMAA,58.4,26.7,11
JÕGEVAMAA,58.7,26.7,4
LÄÄNE-VIRUMAA,59.0,26.7,5
LÄÄNE-VIRUMAA,59.3,26.7,5
LÄÄNE-VIRUMAA,59.6,26.7,5
VÕRUMAA,57.6,27.2,15
VÕRUMAA,57.9,27.2,15
PÕLVAMAA,58.2,27.2,8
TARTUMAA,58.4,27.2,11
TARTUMAA,58.7,27.2,11
IDA-VIRUMAA,59.0,27.2,2
IDA-VIRUMAA,59.3,27.2,2
UNKNOWN,59.6,27.2,12
UNKNOWN,57.6,27.7,12
VÕRUMAA,57.9,27.7,15
UNKNOWN,58.2,27.7,12
UNKNOWN,58.4,27.7,12
UNKNOWN,58.7,27.7,12
IDA-VIRUMAA,59.0,27.7,2
IDA-VIRUMAA,59.3,27.7,2
UNKNOWN,59.6,27.7,12
UNKNOWN,57.6,28.2,12
UNKNOWN,57.9,28.2,12
UNKNOWN,58.2,28.2,12
UNKNOWN,58.4,28.2,12
UNKNOWN,58.7,28.2,12
UNKNOWN,59.0,28.2,12
UNKNOWN,59.3,28.2,12
UNKNOWN,59.6,28.2,12
SAAREMAA,58.5,21.7,10
SAAREMAA,58.5,22.2,10
SAAREMAA,58.5,22.7,10
SAAREMAA,58.5,23.2,10
PÄRNUMAA,58.5,23.7,7
PÄRNUMAA,58.5,24.2,7
PÄRNUMAA,58.5,24.7,7
VILJANDIMAA,58.5,25.2,14
VILJANDIMAA,58.5,25.7,14
JÕGEVAMAA,58.5,26.2,4
TARTUMAA,58.5,26.7,11
TARTUMAA,58.5,27.2,11
UNKNOWN,58.5,27.7,12
UNKNOWN,58.5,28.2,12
HIIUMAA,58.8,21.7,1
HIIUMAA,58.8,22.2,1
HIIUMAA,58.8,22.7,1
HIIUMAA,58.8,23.2,1
LÄÄNEMAA,58.8,23.7,6
RAPLAMAA,58.8,24.2,9
RAPLAMAA,58.8,24.7,9
JÄRVAMAA,58.8,25.2,3
JÄRVAMAA,58.8,25.7,3
JÕGEVAMAA,58.8,26.2,4
JÕGEVAMAA,58.8,26.7,4
JÕGEVAMAA,58.8,27.2,4
UNKNOWN,58.8,27.7,12
UNKNOWN,58.8,28.2,12
UNKNOWN,59.1,21.7,12
HIIUMAA,59.1,22.2,1
HIIUMAA,59.1,22.7,1
LÄÄNEMAA,59.1,23.2,6
LÄÄNEMAA,59.1,23.7,6
HARJUMAA,59.1,24.2,0
RAPLAMAA,59.1,24.7,9
HARJUMAA,59.1,25.2,0
JÄRVAMAA,59.1,25.7,3
LÄÄNE-VIRUMAA,59.1,26.2,5
LÄÄNE-VIRUMAA,59.1,26.7,5
IDA-VIRUMAA,59.1,27.2,2
IDA-VIRUMAA,59.1,27.7,2
UNKNOWN,59.1,28.2,12
UNKNOWN,59.4,21.7,12
UNKNOWN,59.4,22.2,12
UNKNOWN,59.4,22.7,12
LÄÄNEMAA,59.4,23.2,6
HARJUMAA,59.4,23.7,0
HARJUMAA,59.4,24.2,0
HARJUMAA,59.4,24.7,0
HARJUMAA,59.4,25.2,0
HARJUMAA,59.4,25.7,0
LÄÄNE-VIRUMAA,59.4,26.2,5
LÄÄNE-VIRUMAA,59.4,26.7,5
IDA-VIRUMAA,59.4,27.2,2
IDA-VIRUMAA,59.4,27.7,2
UNKNOWN,59.4,28.2,12
UNKNOWN,59.7,21.7,12
UNKNOWN,59.7,22.2,12
UNKNOWN,59.7,22.7,12
UNKNOWN,59.7,23.2,12
UNKNOWN,59.7,23.7,12
UNKNOWN,59.7,24.2,12
HARJUMAA,59.7,24.7,0
HARJUMAA,59.7,25.2,0
HARJUMAA,59.7,25.7,0
LÄÄNE-VIRUMAA,59.7,26.2,5
LÄÄNE-VIRUMAA,59.7,26.7,5
UNKNOWN,59.7,27.2,12
UNKNOWN,59.7,27.7,12
UNKNOWN,59.7,28.2,12
